,label,original
0,1,"** MAJOR SPOILERS** Watchable only for the action sequences not the story or acting in it "" Nature Unleashed: Fire "" has one of the longest and excruciating endings in modern motion picture history. We have the fearless Ranger Jake, Bryan Genesse, leading this trio of hysterical bikers to safety in of all paces an explosive fume beaching mine shaft! This during a raging forest fire! It seems that Ranger Jake with all his knowledge of the great outdoors didn't realize that a mine shaft that's leaking with dangerous and explosive methane gas is the last place to go when all the woods around it is on fire!*** SPOILERS FROM THIS POINT ON*** All this started some time ago when Ranger Jake in an effort to save the not that on the ball miner Tiny, Chris Harz aka "" The Sherd "", let him slip through his fingers and fall to his death at the bottom of the mine shaft, or did he! Even though we were kept in suspense to who's setting the forest fires for the first half of the movie it wasn't a surprise at all the Tiny was the culprit! As you would expect in movies like these Tiny seemed to be made of hardened steel in that nothing that ever happened to him, fires explosions as well as impaling, could stop the crazed miner. Before Tiny's reappearance, or resurrection, Ranger Jake got involved in rescuing bikers Chris Mel Sharon & Marcus, Josh Cohen Melanie Lewis Anastasia Griffith & Ross McCall, who were trapped in the woods with fires breaking all around them. Having the usual know it allMarcusamong the bikers things don't go as smoothly as Ranger Jake wanted them to go. Marcus not only eggs on the meek Chris to do something stupid, jump with his bike over a 10 foot pile of logs, but has the guy break his leg. This makes it almost impossible for Ranger Jake to have Chris airlifted out before the fires consume him as well as his fellow bikers! For the remainder of the movie Ranger Jake, who put himself in charge, makes boner after boner in his attempt to save himself and the trapped and lost in the woods bikers! All this ends with Jake's brilliant idea to hide in a dangerous and abandoned mine shaft with the rescue party just yards away from rescuing them if they only stayed put and in the open where the rescue team could find them! Even though he was supposed to be the life of the party, or movie, Tiny for all his efforts in being another indestructible super villain came across as a man who spent too much time out in the sun. The makeup job on Tiny was so outrageous that he looked like he dumped a jar of spaghetti sauce over his head instead of having it burned to a crisp. Ranger Jake came across as either somewhat very naive or retarded in his being so taken in by the dangerous Tiny in always trying to save the rampaging psycho who never hid his feelings about what he had in mind for the play by the rules Forest Ranger. In fact Ranger Jake actually encouraged Tiny to do both him and the bikers in by showing him how incompetent he was in trying to save them. The fact that Ranger Jake was successful wasn't because he was so smart but because Tiny, despite his indestructibility, was so brainless!"
1,1,"This is species already hatching into a beautiful model ( Mathilda May). A smashing baby with an urge to kiss and kill! The movie begins with a strong launch, and infected by a borevirus throughout the middle to end. The weakest spot is the presentation of the basic plot/ story. As you should have compared it, Natasha Henstridge's Species got the same plot, but adds up much interesting side plot and not mentioning good actions and strong clymatic ending. This explain why Patrick Stewart joins the fleet of enterprise in Star Trek Next Generation; he wanted to find more models in glass cage, floating inside HalleyComet. A must see for a science fiction fans."
2,1,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a man ( Pierre Jolivet) lives on his own and arrives in an unrecognizable Paris where he is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the man having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the man can hear with his cassette recorder. Luc Besson was to make better and still entrancing films like this one, he also boosted Pierre Jolivet's career as a director who will leave a patchy work behind him in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003)."
3,1,"In the spirit of the Great Space Coaster, but a few years earlier. Hot Fudge was one of the psychedelic kid's shows that I grew up on. Seymour was a big, fuzzy, green puppet, with a crescent smile of enormous teeth which nearly split his head, I recall him wearing a variety of Elton Johntype shades. He "" played "" piano, and had a Jesus looking dude in a white tux, sitting next to him. They would have a moral discussion and then do a song about it. Don't remember much else except the opening theme, Seymour and the Hippie. No one else I know remembers it at all. I grew up in Jersey, so if it was produced in Detroit as a previous post said, it wasn't just local. Seymour reminded me a lot of Sherlock the Squirrel from the Magic Garden ( another psychedelic kids show if there ever was one.) People always talk about LSD's effects of music and movies of the 70s, but it seems kid's show writers got a dose as well."
4,1,"i did not expect to enjoy this. in truth i watched it because a friend knew a friend knew a friend who wrote the script but wasn't credited. knowing Dylan thomas, and really being appreciative of his poetry but aware and rather disconcerted by the man, i didn't feel i needed to see a twee adaption of his lame bohemian life laid bare. and this was not it. critical and yet appreciative it was. it made me cry. kiera knightley was superb, even with that slightly strained welsh accent, and it is a sad tale that they tell. Dylan thomas is not the hero as sadly he was not throughout his life and neither really are the so called ' feisty woman ' of the pr spiel. it is cillian the william of the movie. a man that leaves the woman he loves to fight a war that they ignore. his challenge to reoonnect with that indifference is what is of real interest to this film and what a beautiful performance from that actor. i thiink this film is underrated because it was marketed so badly. Dylan thomas fans will expect something more from their so very flawed hero and get less, and well that is how it was marketed. it is not a film about Dylan thomas and it is much more interesting for it."
5,1,"Fans of the Pink Panther, Naked Gun, or Get Smart will certainly enjoy this farce that won one Csar and was nominated for four more. Jean Dujardin is Agent OSS 117, a man who wouldn't know a clue if it hit him upside the head. He is also a reflection of the colonialist attitude indicative of the West. All of the Russian spies, Nazis, and Muslim radicals around him are just as stupid, but there is Larmina ( Brnice Bejo) and the Princess ( Aure Atika) to keep things interesting. OSS 117's uncanny ability to pick up languages, play musical instruments the first time he picks them up, and sing like a native are all more impressive than Bond's tricks, but he is still stupid."
6,1,"I remember watching Police Squad! when it first came on ABC in 1982 and I thought it was a very funny show, thanks to the many sight gags, non sequitors and scripts filled with word play. In one episode, there was a line where a man named Once was shot twice.    But unfortunately, ABC canceled the show after only six episodes. I felt it deserved a much longer run but a network executive thought the show demanded too much attention of the viewer because of all the sight gags in each episode. One that I remember was in the opening where the episode's title was different from the one shown on the screen.    Leslie Nielsen's portrayal of Frank Drebin was deadpan, yet very funny and his role was in the narrative style of Jack Webb of Dragnet. Alan North did well and Peter Lupus, in one of his few roles since Mission: Impossible wasn't bad as Norberg, But the one character that stood out was Johnny the Shoeshine Boy, played by William Duell. After giving advice to Drebin, there were cameos from Dick Clark, Dr. Joyce Brothers and then Dodger manager Tommy LaSorda.    Even though Police Squad! had a short life on ABC, the Zucker Brothers didn't give up on the concept which turned out even more successful in the Naked Gun movie franchise. I'll close with a regular closing gag. Freeze the ending right here."
8,1,"A young woman, Jodie Foster, is witnessing a mafia murder, reports the killing to the local police, and becomes herself a hit target by the mob operatives. A professional killer, Dennis Hopper, hired by mafia, is stalking her to prepare for the hit, but eventually he falls for her. Then, as a parody of the Stockholm Syndrome that defines a case when an abducted hostage begins to like and cooperate with the kidnapper, Jodie Foster falls for her abductor too, make love, and both prepare for a getaway. Denis Hopper, the actor, tries to align himself with the creative ambitions of Dennis Hopper, the director. The result is disappointing, and fails to keep pace with the artistic level of a great performer as Dennis Hopper is. There is no real thrill and the script is sometimes naive and predictable. The film is saved to some extent by the performance of Jodie Foster who is not at her best, but still shines with her talent, beauty and gift. Of historical interest is the short appearance of Vincent Price, and, in a small act, of Charlie Sawn known from his great part in "" Wall Street "". If you decide to spend the 116 minutes to see the film, it is not a complete loss; this movie offers easy entertainment, but we would expect much more from the director of "" Easy Rider "", and the actress who gave us the character of Sarah Tobias in "" The Accused ""."
11,1,"I hate it when people in the movie theater talk back to the screen. It's one of the main reasons why I stick to DVD's or videos. I saw The Clearing on DVD but if I had seen it in the movies I would have had to stand up and SCREAM "" HE 'S NOT DEAD YET, YOU MORON! "" The Clearing is another in a long list of horrible movies that feature Mr. Redford. Legal Eagles, Havana, Indecent Proposal, Up Close and Personal, Sneakers, Last Castle, and Spy Game. If Robert Redford told me to invest in something I'd go the other way.    But the worst possible thing you can do to an audience is this. Say you're being kidnapped and your kidnapper has a gun. He's holding it on you for most of the movie. You turn the tables on him and start strangling him. Whatever you do keep strangling him until he's DEAD! Don't just strangle him for ten seconds. Stay with it! Ten minutes at least. But Bob stops too soon, walks away and forgets about Mr. Kidnapper until ....... He gets up, finds the gun and holds it on our hero again. At this point I wanted Mr. Kidnapper to shoot Robert Redford. More than a few times. And I wanted to shoot him as well."
12,1,"Um, hello .. Rainbow Brite .. the name alone is hard to take it seriously, like she could be the cousin of Strawberry Shortcake .. but when you're a kid, this is definitely serious stuff. So, there's this vile, snotty, spoiled girl and she wants Rainbow Brites belt, amongst other things, ie the light of the whole universe, and Rainbow Brite and her friend Cris are bound and determined to stop her. As I remember, Murky and Lurky had a minor role in this production. Maybe they wanted too much money? So anyway, snotty, evil girl has a powerful jewel and she channels it's power to take Rainbow's belt .. imagine? But somehow, Rainbow gets her belt back and reenergizes it with "" star sprinkles "" and kicks the bad girls ' butt with the help of Cris and his prism bracelet, and they also save the whole universe in the process. So good triumphs over evil, niceness triumphs over rudeness, and Rainbow Brite and the Color Kids are once again safe to spread color and joy for all mankind."
