prediction,original
1,"' ' Queen of the Damned '' is one of the worst adaptations of a book to a movie that I already saw. The only thing that I like in this movie is the soundtrack, anything else besides that. ( Since I am a fan of Korn, Marilyn Manson, Chester Bennington of Linkin Park and Wayne Static of StaticX) There are so many mistakes and so many bad choices that I don't even know how to start. So many stories were cut, like the twin's legend ( one of my favorite)Armand and Daniel's relationship and even Louis is not present, to mention a few.(The plot was dead) First, they should have made a movie of ' ' The Vampire Lestat ' ', because it is the second book after ' ' The interview with the vampire'',and not ' ' Queen of Damned ' '. They tried to squeeze in a single movie so many informations, that you finish not getting almost anything unless you read the vampire chronicles. So many meaningful characters doesn't seem to have a real importance in this movie. It is Pandora's case, for example. The actors that they choose to play all the characters doesn't match with many of Anne Rice's descriptions, specially Marius, that is suppose to be a beautiful, tall, imposing blond guy with blue eyes, like Lestat. ( Stuart Towsend is also far from being like Lestat) I didn't understand why they changed Lestat's maker to be Marius instead of Magnus as well. ' ' Interview with the vampire ' ' was an awesome movie, I loved the actors and Tom Cruise as Lestat was PERFECT and far superior then Stuart Townsend.(I am sad that Tom Cruise declined the chance of playing Lestat again) Only Antonio Bandeiras as Armand didn't match with Armand's looks, but anyway, far superior from this crap movie called '' The Queen of Damned ' '. Anne Rice was so picky about Interview that I didn't get how she just sold the rights for this terrible production."
0,"' ' Queen of the Damned '' is one of the worst adaptations of a book to a movie that I already saw. The only thing that I like in this movie is the soundtrack, anything else besides that. ( Since I am a fan of Korn, Marilyn Manson, Chester Bennington of Linkin Park and Wayne Static of StaticX) There are so many mistakes and so many bad choices that I don't even know how to start. So many stories were cut, like the twin's legend ( one of my favorite)Armand and Daniel's relationship and even Louis is not present, to mention a few.(The plot was dead) First, they should have made a movie of ' ' The Vampire Lestat ' ', because it is the second book after ' ' The interview with the vampire'',and not ' ' Queen of Damned ' '. They tried to squeeze in a single movie so many informations, that you finish not getting almost anything unless you read the vampire chronicles. So many meaningful characters doesn't seem to have a real importance in this movie. It is Pandora's case, for example. The actors that they choose to play all the characters doesn't match with many of Anne Rice's descriptions, specially Marius, that is suppose to be a beautiful, tall, imposing blond guy with blue eyes, like Lestat. ( Stuart Towsend is also far from being like Lestat) I didn't understand why they changed Lestat's maker to be Marius instead of Magnus as well. ' ' Interview with the vampire ' ' was an awesome movie, I loved the actors and Tom Cruise as Lestat was PERFECT and far superior then Stuart Townsend.(I am sad that Tom Cruise declined the chance of playing Lestat again) Only Antonio Bandeiras as Armand didn't match with Armand's looks, but anyway, far superior from this crap movie called '' The Queen of Damned ' '. Anne Rice was so picky about Interview that I didn't get how she just sold the rights for this terrible production."
0,"* MILD SPOILERS* In this wouldbe satire, Chaplin set his sights on the evils of German fascism, playing the twin roles of Tomanian dictator Adenoid Hynkel and one of his subjects, an inadvertent World War I hero and Jewish barber. Through events inspired by both Adolf Hitler and the Marx Brothers, Hynkel negotiates contracts and declares war on neighbouring Osterlich whilst finding time for numerous, oddly flat setpieces. The dictator's muchcelebrated waltz with an inflatable globe is actually entirely heavyhanded, underwhelming and unfunny. Chaplin should certainly be commended for looking to lampoon Hitler and for speaking out strongly on celluloidhis muchmaligned final speech is actually the bold, memorable highlight of the piecebut the film simply isn't sharp or funny enough to merit the praise frequently heaped upon it, nor to demand repeated viewings. The best gags are away from Hynkel's tiresome posturing and involve The Barber attempting to avoid a large spinning bomb ( a sequence which steals from the gun tussle in The Gold Rush) and later, with a pot on his head, accidentally walking the plank off the roof of his shop. Compared to the director's silent classics, The Great Dictator is slow, wildly inconsistent and altogether somewhat unsatisfactory, whilst the barren spells between laughs are often long and difficult to endure. There is no doubt that Chaplin was a genius, but even geniuses make disappointing pictures and The Great Dictator certainly ranks as such."
1,"* MILD SPOILERS* In this wouldbe satire, Chaplin set his sights on the evils of German fascism, playing the twin roles of Tomanian dictator Adenoid Hynkel and one of his subjects, an inadvertent World War I hero and Jewish barber. Through events inspired by both Adolf Hitler and the Marx Brothers, Hynkel negotiates contracts and declares war on neighbouring Osterlich whilst finding time for numerous, oddly flat setpieces. The dictator's muchcelebrated waltz with an inflatable globe is actually entirely heavyhanded, underwhelming and unfunny. Chaplin should certainly be commended for looking to lampoon Hitler and for speaking out strongly on celluloidhis muchmaligned final speech is actually the bold, memorable highlight of the piecebut the film simply isn't sharp or funny enough to merit the praise frequently heaped upon it, nor to demand repeated viewings. The best gags are away from Hynkel's tiresome posturing and involve The Barber attempting to avoid a large spinning bomb ( a sequence which steals from the gun tussle in The Gold Rush) and later, with a pot on his head, accidentally walking the plank off the roof of his shop. Compared to the director's silent classics, The Great Dictator is slow, wildly inconsistent and altogether somewhat unsatisfactory, whilst the barren spells between laughs are often long and difficult to endure. There is no doubt that Chaplin was a genius, but even geniuses make disappointing pictures and The Great Dictator certainly ranks as such."
1,"* SPOILERS AHEAD* Great WrestleManias were still a few years away. But this one was certainly good, with lots of good matches, and one great match. Demolition was always at their best at WrestleMania. I'm glad their last WM hoorah ( I refuse to include the other version) was a win over the Colossal Connection. I liked the gag of Andre never tagging in. Few fans know that this was the first time anyone ever beat Mr. Perfect. For some reason, Brutus Beefcake's feat was never recognized. Or the fact that he did it pretty easily. The Hart Foundation's win over the Bolsheviks was the shortest in WM history, including the 24/9 second match between King Kong Bundy and S.D. Jones. I'm glad Jake and DiBiase got to fight at WrestleMania. This made up for the fact that the feud had to be put on hold for so long. I expected the Big BossmanAkeem feud to heat up, but the Bossman just clobbered him. As good as Bossman was as a heel, he was just great as a face. He was always intense and obviously loved his job. If the Warrior just had a better work ethic and maybe tried to learn to wrestle, he would have been a great WWF champion. Worth a watch, especially since the boring matches are too short to complain about. And the tag team matches are all very exciting."
0,"* SPOILERS AHEAD* Great WrestleManias were still a few years away. But this one was certainly good, with lots of good matches, and one great match. Demolition was always at their best at WrestleMania. I'm glad their last WM hoorah ( I refuse to include the other version) was a win over the Colossal Connection. I liked the gag of Andre never tagging in. Few fans know that this was the first time anyone ever beat Mr. Perfect. For some reason, Brutus Beefcake's feat was never recognized. Or the fact that he did it pretty easily. The Hart Foundation's win over the Bolsheviks was the shortest in WM history, including the 24/9 second match between King Kong Bundy and S.D. Jones. I'm glad Jake and DiBiase got to fight at WrestleMania. This made up for the fact that the feud had to be put on hold for so long. I expected the Big BossmanAkeem feud to heat up, but the Bossman just clobbered him. As good as Bossman was as a heel, he was just great as a face. He was always intense and obviously loved his job. If the Warrior just had a better work ethic and maybe tried to learn to wrestle, he would have been a great WWF champion. Worth a watch, especially since the boring matches are too short to complain about. And the tag team matches are all very exciting."
0,"** MAJOR SPOILERS** Watchable only for the action sequences not the story or acting in it "" Nature Unleashed: Fire "" has one of the longest and excruciating endings in modern motion picture history. We have the fearless Ranger Jake, Bryan Genesse, leading this trio of hysterical bikers to safety in of all paces an explosive fume beaching mine shaft! This during a raging forest fire! It seems that Ranger Jake with all his knowledge of the great outdoors didn't realize that a mine shaft that's leaking with dangerous and explosive methane gas is the last place to go when all the woods around it is on fire!*** SPOILERS FROM THIS POINT ON*** All this started some time ago when Ranger Jake in an effort to save the not that on the ball miner Tiny, Chris Harz aka "" The Sherd "", let him slip through his fingers and fall to his death at the bottom of the mine shaft, or did he! Even though we were kept in suspense to who's setting the forest fires for the first half of the movie it wasn't a surprise at all the Tiny was the culprit! As you would expect in movies like these Tiny seemed to be made of hardened steel in that nothing that ever happened to him, fires explosions as well as impaling, could stop the crazed miner. Before Tiny's reappearance, or resurrection, Ranger Jake got involved in rescuing bikers Chris Mel Sharon & Marcus, Josh Cohen Melanie Lewis Anastasia Griffith & Ross McCall, who were trapped in the woods with fires breaking all around them. Having the usual know it allMarcusamong the bikers things don't go as smoothly as Ranger Jake wanted them to go. Marcus not only eggs on the meek Chris to do something stupid, jump with his bike over a 10 foot pile of logs, but has the guy break his leg. This makes it almost impossible for Ranger Jake to have Chris airlifted out before the fires consume him as well as his fellow bikers! For the remainder of the movie Ranger Jake, who put himself in charge, makes boner after boner in his attempt to save himself and the trapped and lost in the woods bikers! All this ends with Jake's brilliant idea to hide in a dangerous and abandoned mine shaft with the rescue party just yards away from rescuing them if they only stayed put and in the open where the rescue team could find them! Even though he was supposed to be the life of the party, or movie, Tiny for all his efforts in being another indestructible super villain came across as a man who spent too much time out in the sun. The makeup job on Tiny was so outrageous that he looked like he dumped a jar of spaghetti sauce over his head instead of having it burned to a crisp. Ranger Jake came across as either somewhat very naive or retarded in his being so taken in by the dangerous Tiny in always trying to save the rampaging psycho who never hid his feelings about what he had in mind for the play by the rules Forest Ranger. In fact Ranger Jake actually encouraged Tiny to do both him and the bikers in by showing him how incompetent he was in trying to save them. The fact that Ranger Jake was successful wasn't because he was so smart but because Tiny, despite his indestructibility, was so brainless!"
1,"** MAJOR SPOILERS** Watchable only for the action sequences not the story or acting in it "" Nature Unleashed: Fire "" has one of the longest and excruciating endings in modern motion picture history. We have the fearless Ranger Jake, Bryan Genesse, leading this trio of hysterical bikers to safety in of all paces an explosive fume beaching mine shaft! This during a raging forest fire! It seems that Ranger Jake with all his knowledge of the great outdoors didn't realize that a mine shaft that's leaking with dangerous and explosive methane gas is the last place to go when all the woods around it is on fire!*** SPOILERS FROM THIS POINT ON*** All this started some time ago when Ranger Jake in an effort to save the not that on the ball miner Tiny, Chris Harz aka "" The Sherd "", let him slip through his fingers and fall to his death at the bottom of the mine shaft, or did he! Even though we were kept in suspense to who's setting the forest fires for the first half of the movie it wasn't a surprise at all the Tiny was the culprit! As you would expect in movies like these Tiny seemed to be made of hardened steel in that nothing that ever happened to him, fires explosions as well as impaling, could stop the crazed miner. Before Tiny's reappearance, or resurrection, Ranger Jake got involved in rescuing bikers Chris Mel Sharon & Marcus, Josh Cohen Melanie Lewis Anastasia Griffith & Ross McCall, who were trapped in the woods with fires breaking all around them. Having the usual know it allMarcusamong the bikers things don't go as smoothly as Ranger Jake wanted them to go. Marcus not only eggs on the meek Chris to do something stupid, jump with his bike over a 10 foot pile of logs, but has the guy break his leg. This makes it almost impossible for Ranger Jake to have Chris airlifted out before the fires consume him as well as his fellow bikers! For the remainder of the movie Ranger Jake, who put himself in charge, makes boner after boner in his attempt to save himself and the trapped and lost in the woods bikers! All this ends with Jake's brilliant idea to hide in a dangerous and abandoned mine shaft with the rescue party just yards away from rescuing them if they only stayed put and in the open where the rescue team could find them! Even though he was supposed to be the life of the party, or movie, Tiny for all his efforts in being another indestructible super villain came across as a man who spent too much time out in the sun. The makeup job on Tiny was so outrageous that he looked like he dumped a jar of spaghetti sauce over his head instead of having it burned to a crisp. Ranger Jake came across as either somewhat very naive or retarded in his being so taken in by the dangerous Tiny in always trying to save the rampaging psycho who never hid his feelings about what he had in mind for the play by the rules Forest Ranger. In fact Ranger Jake actually encouraged Tiny to do both him and the bikers in by showing him how incompetent he was in trying to save them. The fact that Ranger Jake was successful wasn't because he was so smart but because Tiny, despite his indestructibility, was so brainless!"
1,"** SPOILERS** The third and mercifully last of the Aztec Mummy trilogy in the fact that the series major starbesides the Mummy- actor Ramon Gay, as Dr. Eduardo Almada, was gunned down by the outraged husband of a woman he was having an affair with on May 28, 1960! Still that didn't stop Gay, in him being edited into them from his previous films, from being in a number of future Mexican horror movies made over the next four years after his death. In "" Robot vs the Aztec Mummy "" we have the once again mad scientist Dr. Krupp trying to get his hands on the Mummy's golden breastplate and bracelet in order, by having them deciphered, to find the Aztez treasure that's been secretly buried somewhere in modern Mexico City over 500 years ago. "" Robot vs the Aztec Mummy "" is not much as a movie in itself in that its made up of stock footage of the previous Aztec Mummy films that take up over half of the films running time. After getting introduced to the movie's cast members, some who have been killed in the previous Aztec Mummy films, we get down to the real nitty gritty in it involving the evil as well as criminally insane Dr. Krupp also know as "" The Bat "". Dr. Kruppwho looks like a wild eyed and crazed Orson Wellsis a man with boundless visions of grandeur in him not only uncovering the long lost Aztec treasure but now, unlike in the two previous movies he was in, creating life and using it in making an army of human robots to take over the world. An idea he must have gotten from watching Ed Wood's 1955 "" Atomic Superman "" classic "" Bride of the Monster "". Unable to handle the Mummy in his two other encounters with it, where he ended up getting thrown by it into a snake pit filled with deadly rattlers, Dr. Krupp had created a robot, with a human cadaver stuffed in it, to the job, of doing in the Mummy, for him. With he Mummy sleeping in its tomb at a local Mexico City cemetery Dr. Krupp has his RobotMan brake into the Mummy's crypt to do battle with it and destroy it with its bolts of deadly radiation.  *** SPOILERS*** The big builtup to the Aztec Mummy RobotMan confrontation turns to be a big letdown with the Mummy having no trouble at all dispatching the "" TinMan "" in less then 30 seconds together with its creator Dr. Krupp. All this while both Dr. Almada and his friend and assistant Pinacate, who came to the Mummy's aid, have nothing at all to do but sit back and watch the action. Now without the mad and offthewall Dr. Krupp annoying it the Mummy can go back to its eternal resting place without ever worrying about the problems of the modern world at large, like Dr. Krupp, that it has really no interest in."
0,"** SPOILERS** The third and mercifully last of the Aztec Mummy trilogy in the fact that the series major starbesides the Mummy- actor Ramon Gay, as Dr. Eduardo Almada, was gunned down by the outraged husband of a woman he was having an affair with on May 28, 1960! Still that didn't stop Gay, in him being edited into them from his previous films, from being in a number of future Mexican horror movies made over the next four years after his death. In "" Robot vs the Aztec Mummy "" we have the once again mad scientist Dr. Krupp trying to get his hands on the Mummy's golden breastplate and bracelet in order, by having them deciphered, to find the Aztez treasure that's been secretly buried somewhere in modern Mexico City over 500 years ago. "" Robot vs the Aztec Mummy "" is not much as a movie in itself in that its made up of stock footage of the previous Aztec Mummy films that take up over half of the films running time. After getting introduced to the movie's cast members, some who have been killed in the previous Aztec Mummy films, we get down to the real nitty gritty in it involving the evil as well as criminally insane Dr. Krupp also know as "" The Bat "". Dr. Kruppwho looks like a wild eyed and crazed Orson Wellsis a man with boundless visions of grandeur in him not only uncovering the long lost Aztec treasure but now, unlike in the two previous movies he was in, creating life and using it in making an army of human robots to take over the world. An idea he must have gotten from watching Ed Wood's 1955 "" Atomic Superman "" classic "" Bride of the Monster "". Unable to handle the Mummy in his two other encounters with it, where he ended up getting thrown by it into a snake pit filled with deadly rattlers, Dr. Krupp had created a robot, with a human cadaver stuffed in it, to the job, of doing in the Mummy, for him. With he Mummy sleeping in its tomb at a local Mexico City cemetery Dr. Krupp has his RobotMan brake into the Mummy's crypt to do battle with it and destroy it with its bolts of deadly radiation.  *** SPOILERS*** The big builtup to the Aztec Mummy RobotMan confrontation turns to be a big letdown with the Mummy having no trouble at all dispatching the "" TinMan "" in less then 30 seconds together with its creator Dr. Krupp. All this while both Dr. Almada and his friend and assistant Pinacate, who came to the Mummy's aid, have nothing at all to do but sit back and watch the action. Now without the mad and offthewall Dr. Krupp annoying it the Mummy can go back to its eternal resting place without ever worrying about the problems of the modern world at large, like Dr. Krupp, that it has really no interest in."
