1	Well, if you are looking for a great mind control movie, this is it. No movie has had so many gorgeous women under mind control, and naked. Marie Forsa, as the busty Helga, is under just about everytime she falls asleep and a few times when she isn't. One wishes they made more movies like this one.
1	I had the privilege of watching Scarface on the big screen with its beautifully restored 35mm print in honor of the 20th anniversary of the films release. It was great to see this on the big screen as so much of it is lost on television sets and the overall largesse of this project cannot be emphasized enough.  Scarface is the remake of a classic rags to riches to the depths of hell story featuring Al Pacino as Cuban drug lord Tony Montana. In this version, Tony comes to America during the Cuban boat people immigration wave in the late 1970s, early 1980s. Tony and his cohorts quickly get green cards by offing a political figure in Tent City and after a brief stay at a Cuban restaurant; Tony is launched on his horrific path to towards total destruction.  Many of the characters in this movie a played in such skilled manner that is so enjoyable to watch I have forgot little of this film over the last twenty years. Robert Loggia as Tony's patron, Frank Lopez is wonderful. His character is flawed by being too trusting, and as Tony quickly figures out, soft. Lopez's right hand, Omar Suarez is portrayed by one of our greatest actors, F. Murray Abraham (Amadeus.) Suarez is the ultimate toady and will do anything for Frank; it is like he does not have a mind of his own. Tony quickly sees this and he constantly battles with Suarez, but really only sees him as a minor problem to get through on his way to the top. The character that always comes back to me as being played so perfectly is Mel Bernstein, the audaciously corrupt Miami Narcotics detective played by Harris Yulin (Training Day.) Mel, without guilt extorts great sums of money form all sides of the drug industry. He plays Tony off of Frank until it catches up with him in a scene that marks the exit from the film of both Frank and Mel. It is priceless to hear Frank asking for Mel to intercede, as Tony is about to kill him only to hear Mel reply, `It's your tree Frank, you're sitting in it.' This is from the man who Frank had been paying for protection! Tony's rise is meteoric and is only matched in speed and intensity by his quick crash and burn. After offing Frank and taking his wife and business Tony's greed takes over and he never can seem to get enough. As Tony plunges deeper into the world of drugs, greed and the inability to trust he eventually kills his best friend and his sister who had fallen in love and married. This all sets up the ending in which Tony's compound is stormed by an army from his supplier who feels betrayed because Tony would not go through with a political assassination that was ordered. This all stems form a compassionate moment when Tony refused to be an accomplice in a murder that would have involved the victim's wife and children. All in all this is a great depiction of 1980s excess and cocaine culture. DePalma does a nice job of holding it all together in one of the fastest moving three hour movies around. The violence is extremely graphic and contains a few scenes that will be forever etched on any viewers mind, particularly the gruesome chainsaw seen, the two point blank shots to the head and the entire bloody melee that ends the movie. This is a highly recommended stylistically done film that is not for the squeamish, or for those who need upbeat endings and potential sequels; DePalma let it all fly right here.
0	"That's a snippet of choice dialogue delivered by the evil, ballbusting lady assistant of a famous scientist to her prim maid just before she lures three incredibly dumb college girls to a mansion for behavior modification experiments. Meanwhile, at the local bar, people drink and dance to lame 80s rock songs. A biker punk has sex with a cycle slut on a pinball table in front of a crowd of people, then tries to rape the scientist's virginal daughter Jessica (Debra Hunter), who is in love with another biker (Dale Midkiff, from PET SEMATARY), who, in turn, is in cohorts with the assistant! Back at the house, the sorority bimbos swim, shower, change clothes and have sex with men from the bar. A small silver ball (part of the experiment) flies into victims mouths and turns them into drooling, killer zombies! If that isn't enough to entertain you, there's a hilarious theme song (""Nightmare Fantasy""), roller skating, some serious daisy dukes and a psychic hand puppet (!?) that warns ""DANGER! DANGER!"" just like the LOST IN SPACE robot and recommends hitchhiking as one of the best ways to pick up men! This filmed-in-Florida mess is so mind-numbingly awful that multiple viewings are recommended to soak it all in. And, hey isn't that NYPD Blue's Detective Jill Kirkendall turned CNN newscaster Andrea Thompson as one of oft-nude bimbos? Sure is! Supposedly this was started in 1982 and new footage was added later for the video release in 1985. Score: 1 out of 10 (and I mean that in a good way!)"
0	"Predictable, told a thousand times story with the usual drama in between, a couple of pretty raunchy sex scenes intermingled with some character paranoia, 70's style incidental violin horror music that is comical at times, i couldn't help chuckling to myself. I usually like Defoe, and it has to be said that the acting is not all that bad, the ""plot"" develops at a reasonable pace and does keep you guessing from time to time. Its just that it's all too predictable, i felt like i was watching a made for TV drama instead of a new movie. Maybe thats the style the directors wanted, but it has to be said that the review i read on here before i saw the movie could only have been written by someone involved in its production. Don't expect too much, and if i could wind the clock back i wouldn't have gone to see it at the cinema. I would wait for the bargain bins at your video shop, I'm sure it wont take long."
0	"This is the worst movie ever made. The acting, the script, the location, everything! I would have given it a little chance if there were attractive women in the movie, but even they were bad. You would think that a movie with the word ""beach"" in it's title would have good-looking women in it. Wouldn't you?"
1	Godard once said a way to criticize a movie is to just make one, and probably the strongest kind that could be made about Ralph Bakshi's take on Tolkien's magnum opus the Lord of the Rings, has actually been made by Peter Jackson. The recent trilogy, to me, aren't even total masterpieces, but they are given enough room with each book to breath in all the post-modern techniques crossed with classical storytelling to make them very good, sweeping entertainments.  But as one who has not read the books, I end up now looking upon the two versions, live-action (albeit partly animated in its big visual effects way) and animated (albeit partly done with actual live action as the framework) in relation to just the basic story, not even complete faithfulness to the books. And with Bakshi's version, it's almost not fair in a way, as what we do see is really not the complete vision, not what Jackson really had (probably final cut). Robbed of Return of the King's big climactic rush of the story, and with the other two parts becoming rushed, I ended up liking it more for what it did within its limitations, though as such those same limitations make it disappointing. What's interesting too, after seeing the Jackson films first- which I also slightly regret being that I might've reacted to this differently when I was younger and prior to five years ago- is that the basic elements of the story never get messed up with. Everything that is really needed to tell the Fellowship of the Ring story is actually pretty much intact, and if anything what was probably even more gigantic and epic in Tolkien's book is given some clarity in this section. The actors playing the parts of the hobbits and the other heroes, are more or less adequate for the parts, with a few parts standing out (John Hurt as Aragorn and William Squire as Gandalf).  The lack of extra characterization does end up making things seem a little face-value for those who've not even seen the other films or read the books and can't put them into context. But there is some level of interest always with the characters, and here there's a more old-fashioned sensibility amid the large aura of it being more. This is not a garden variety Disney adaptation- warts and all, this is a Bakshi film, with his underground animation roots colliding with the mythical world of Middle Earth. And what Bakshi and his animation team bring to the film is one that ends up giving what is on screen, in all its abbreviated form, its hit or miss appeal. Along with being not totally complete as a film, or as stories, the form of the film is an experiment, to see if something can be entirely rotoscoped. The results end up bringing what seems now to be retro, but at the time of course was something that was a rough, crazy inspiration on the part of the filmmakers. Might it have been better with more traditional drawn animation? In some parts, yeah; it does become a little noticeable, as was also the case in Bakshi's American Pop, that the main characters move in such ways that are a little shaky, like some kind of comic-book form done in a different way. Still, there's much I admired in what was done.  The orcs, for example, I found to be really amazing in they're surreal surroundings. They're maybe the best part of the combination of the animation on top of the live-action, especially during parts where there isn't battle footage (that's really the real hit-or-miss section, as there isn't continuity from the good and bad rotoscoping), and the chiaroscuro comes through with big shapes on top of horseback. It's creepy in a good way. And the backgrounds, while also very rough and sometimes too sketchy, are beautiful with the mixtures and blasts of colors together. It's almost something for art-film buffs as much as for the ring-nuts. So, how would I recommend this animated take on the Lord of the Rings? I don't know, to tell the truth. It's certainly a good notch above the other Tolkien animated film I've seen, the Hobbit (and I've yet to see the animated ROTK), and there is some real artistry going on. There's also some stilted dialog, an all-too-rushed Two Towers segment with the most intriguing character Gollum being reduced to maybe two scenes in all. And seeing something as fragmented like this ends up only reinforcing the completeness of the more recent films.  If you're a fan of the books contemplating checking this out, I would say it's worth a chance, even if it's one of those chances where you watch for forty minutes and then decide whether to stop it or not. As for it fitting into Bakshi's other films I've seen it's an impressive ambitious and spotty achievement, where as with Lynch's Dune it's bound to draw a dark, mordor-like line in the sand between those who hate it passionately and those who don't. I don't.
1	OK. Who brought the cheese. I love it. During it's run it became a phenomenon. The Anorexic Twins became popular.Bob Saget started making a paycheck (Instead of his REALLY funny stand-up). And people knew who Dave Coulier was. This is when life was good and simple. This is one of the great American classics. It was humorous and always brought home a good lesson. And this is where I differ from the norm: I liked the last few seasons. Like Home Improvement, when children get older there are a lot more you can do with the script. This is why I dare say...It could have gone much later than it did. But anyway. I gave it an 8/10 because of its wholesome, funny story lines, and because of Bob Saget!
1	I would like to comment on the movie April Love. It's one of my all time favorites because my father, Nelson Malone plays the horse trainer. I remember distinctly when Hollywood came to Lexington, KY, where we were living at the time to make April Love. My Dad had been in numerous plays and was a talented man. I talked him into going to try out for one of the bit parts offered, and lo and behold he came home w/the script. How exciting is that! Also, a number of my classmates were in the crowd scenes -- especially the ones shown at the amusement park. It's very nostalgic every April when I see the movie being shown once again, and the song April Love by Pat Boone is still played on the radio. Timeless and reminiscent of a time long gone when you see the movies they make today w/all the sex, foul language and violence. It would be refreshing to see more movies like April Love come back into focus...
0	"I heard so much about this movie how it was a great slasher and one of those early 80's movies that die hard fans of most slasher movies just had to see. Well, I rented it and I have to say that although it kept my attention as far as the suspense goes for most slasher films such as ""April Fools Day"", ""Friday 13th"" and ""Prom Night"", this film could have been right up there with the above mentioned only it lacked true enthusiasm and potential from the characters as well as the on going story. Characters that I found were unfortunate to be in this movie was the weirdo guy with the frizzy hair that kept creeping around the dorm and of course leading up to his true climatic role during the end with he faces the killer. Another would be the dirty scruffy looking guy with the jean jacket, he could have played more roles in this movie that might have made the movie more interesting, instead, the movie played this guy as just another loser out there making unknown calls while he sleeps with his girlfriend and then drops his part and cuts him off until the end which was a waste, I was disappointed in his part in the end. As far as the true identity of the killer goes, when the identity was released as to who he was, I just laughed, but it was all to obvious and he really made a true jerk out of himself as well as an annoying character after his true intentions were revealed. This movie should be one to at least watch once for all slasher fans but don't spend your hard earned money on it in some rare hard to find collectors inventory."
0	I think it was an overrated PG-13 crap! At least BRITTANY SNOW's performance was good and some others like IDRIS ELBA were good too, but some others teens in the prom like the leads friends were not that convincing. The killer was so dumb and looked so stupid too. The deaths were stupid, boring and completely unoriginals. The movie was very boring too and very overrated. It wasn't suspenseful at all, i almost fall asleep. Its another bad PG-13 remake, its really a dreadful movie IMO. The ending was so stupid and the climax was very rushed and boring. The movie is pretty slow too. Overall the only good thing about this crap fest is maybe BRITTANY SNOW i think she gave a good performance and IDRIS ELBA too, but besides that it was a completely dreadful movie and horrible remake. Well thats just my opinion. i gave it a 2/10.
